diary.craigwhite.nyc, Craig White is a visual artist based in Harlem, New York
www.tillmanjex.info, Tillman Jex is a composer based in Berlin
photos.rachelpietraszek.com, Rachel Pietraszek is a lawyer based in Toronto
blog.andrewjanjigian.com, Andrew Janjigian is a photographer and editor at Cook’s Illustrated
hannautkin.com, Hanna Utkin is a filmmaker and producer from New York City
keywords.oxus.net, Kerim Friedman teaches anthropology in Taiwan
com.johnbeeler.com, John Beeler is the label director at Asthmatic Kitty Records
bitdepth.org, Chris Campbell is a filmmaker based in Nova Scotia
www.matthewbattles.org, Matthew Battles directs metaLAB at Harvard
www.rebeccatron.com, Rebecca Kukshtel is an engineer based in New York City
blog.aurynn.com, Aurynn Shaw is a writer and engineer from New Zealand
www.kristianhjelle.com, Kristian Hjelle is a designer and partner at Bakken & Bæck
www.alexgibson.nyc, Alexander Gibson is an artist from New York City
www.jacobyyoung.com/about, Jacoby Young works at Kapālama Elementary School in Hawaii
john.pavlusoffice.com, John Pavlus is a writer and filmmaker based in Portland, Oregon
iiiiiiiii.in, Ishtaarth Dalmia writes about internet culture from Bengaluru, India
kiefer.design, Kiefer Sutherland is a freelance designer and art director
www.failuretolerated.com, Sean McCoy is a game designer from Dallas, Texas
mrfris.by, Stuart Frisby is the Director of Design at Booking.com
www.querlin.com, Querlin Ricci is a designer based in Atlanta. Querlin’s website
eli.li, Eli Mellen is a web developer based in Portland, Maine
rile.yt, Riley Tomasek is a software engineer based in New York City
juicenews.com, Jan van Iperen analyzes the juice industry
paul.af, Paul Esch-Laurent is a software engineer from Michigan
shashwati.com, Shashwati Talukdar is an independent filmmaker
shawn.medero.net, Shawn Medero is a software engineer based in Claremont
mariusmasalar.me, Marius Masalar is a photographer and journalist based in Toronto
www.thingelstad.com, Jamie Thingelstad is the Chief Technology Officer at SPS Commerce
ishshah.me, Ish Shah is an engineer based in San Francisco
www.chrbutler.com, Chris Butler is a designer based in Chapel Hill
tyler.vc, Tyler Menezes is a programmer based in Seattle
benlog.net, Ben Greenberg is an investigative reporter based in Boston
www.enzel.io, David Enzel is a lawyer based in Washington, D.C.
journal.cheribaker.com, Cheri Baker is a writer based in Seattle
blog.amitgawande.com, Amit Gawande is software developer based in Pune, India
www.crossingthethreshold.net, David Johnson is a psychologist in Maui, Hawaii
www.inthemargins.ca, Sameer Vasta teaches public affairs in Ontario, Canada
www.jmablog.comm James Adams is a sports therapist based in London